Time,1 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,2 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,1 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,2 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,CONST SPD FAN: Fan Electricity Rate (W) - Hourly,CONST SPD FAN 1: Fan Electricity Rate (W) - Hourly,FAN CONSTANT VOLUME 1: Fan Electricity Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Electricity Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Electricity Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Electricity Rate (W) - Hourly,PUMP CONSTANT SPEED 1: Pump Electricity Rate (W) - Hourly
21 Jul 01:00,0,37.5,0,0,204.85268064028344,0,97.1428571428571,1185.7487644924543,0,0,0
21 Jul 02:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,1190.7645460440697,0,0,0
21 Jul 03:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,1164.904585020985,0,0,0
21 Jul 04:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,1150.5922844368954,0,0,0
21 Jul 05:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,1140.2678367407086,0,0,32.24248204999236
21 Jul 06:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,1109.6381038357542,0,0,0
21 Jul 07:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,1027.0392154582216,0,0,0
21 Jul 08:00,75,37.5,0,0,204.85268064028352,0,97.14285714285712,946.0137174001002,0,0,0
21 Jul 09:00,941.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028355,0,0,142.52630650686433,0,0,32.24248204999236
21 Jul 10:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,79.18239553812784,0,0,32.24248204999236
21 Jul 11:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,89.65989287387147,0,0,32.24248204999236
21 Jul 12:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,93.9064481468941,0,0,32.24248204999236
21 Jul 13:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,90.68647197453426,0,0,32.24248204999236
21 Jul 14:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,86.93567270585567,0,0,32.24248204999236
21 Jul 15:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,90.5324983323972,0,0,32.24248204999236
21 Jul 16:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,88.85621863353084,0,0,32.24248204999236
21 Jul 17:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,84.62167431088425,0,0,32.24248204999236
21 Jul 18:00,1016.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028355,0,0,135.17138506285303,0,0,0.537374700833206
21 Jul 19:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028355,0,0,124.54122422457381,0,0,32.24248204999236
21 Jul 20:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028355,0,0,109.55674475598941,0,0,0
21 Jul 21:00,0,37.5,8.76605952838605,0,204.85268064028358,0,97.14285714285717,2741.149021566147,0,0,0
21 Jul 22:00,0,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285715,1772.1171525512161,0,0,0
