Time,600 GAL WATER HEATER - 600 KBTU/HR: Water Heater Heating Rate (W) - Hourly,COIL HEATING GAS 1: Heating Coil NaturalGas Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Total Cooling Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Total Cooling Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Total Cooling Rate (W) - Hourly
21 Jul 23:00,0,225.09354723245255,6739.2271997891585,0,0
22 Jul 00:00,0,364.79395008826367,4835.73316215786,0,0
21 Jan 01:00,0,10932.639965265638,0,0,0
21 Jan 02:00,0,10932.639965265638,0,0,0
21 Jan 03:00,0,10932.639965265638,0,0,0
21 Jan 04:00,0,10932.639965265638,0,0,0
21 Jan 05:00,8086.053728503338,10932.639965265638,0,0,0
21 Jan 06:00,0,10932.639965265638,0,0,0
21 Jan 07:00,0,10932.639965265638,0,0,0
21 Jan 08:00,899.3923231213726,10932.639965265638,0,0,0
21 Jan 09:00,9897.319108935279,0,0,0,0
21 Jan 10:00,18859.761398487197,0,0,0,0
21 Jan 11:00,17958.46711259293,0,0,0,0
21 Jan 12:00,18859.752820130914,0,0,0,0
21 Jan 13:00,0,0,0,0,0
21 Jan 14:00,0,0,0,0,0
21 Jan 15:00,0,0,0,0,0
21 Jan 16:00,0,0,0,0,0
21 Jan 17:00,0,0,0,0,0
21 Jan 18:00,0,0,0,0,0
21 Jan 19:00,0,0,0,0,0
21 Jan 20:00,0,0,0,0,0
21 Jan 21:00,0,10932.639965265638,0,0,0
21 Jan 22:00,0,10932.639965265638,0,0,0
21 Jan 23:00,0,10932.639965265638,0,0,0
22 Jan 00:00,0,10932.639965265638,0,0,0
21 Jan 01:00,0,5200.754385894743,0,0,0
21 Jan 02:00,0,5200.754385894743,0,0,0
21 Jan 03:00,0,5200.754385894743,0,0,0
21 Jan 04:00,0,5200.754385894743,0,0,0
21 Jan 05:00,8086.10169424377,5200.754385894743,0,0,0
21 Jan 06:00,0,5200.754385894743,0,0,0
21 Jan 07:00,0,5200.754385894743,0,0,0
